,country,food_category,consumption,co2_emmission
1121,Iran,Nuts inc. Peanut Butter,12.16,21.52
1132,Tanzania,Nuts inc. Peanut Butter,5.94,10.51
1143,Senegal,Nuts inc. Peanut Butter,4.03,7.13
1154,Peru,Nuts inc. Peanut Butter,0.65,1.15
1165,Nicaragua,Nuts inc. Peanut Butter,2.36,4.18
1176,Vietnam,Nuts inc. Peanut Butter,6.28,11.12
1187,Ethiopia,Nuts inc. Peanut Butter,1.21,2.14
1198,Myanmar,Nuts inc. Peanut Butter,4.5,7.970000000000001
1209,Congo,Nuts inc. Peanut Butter,3.08,5.45
1220,Zambia,Nuts inc. Peanut Butter,5.04,8.92
1231,Cameroon,Nuts inc. Peanut Butter,9.29,16.439999999999998
1242,Madagascar,Nuts inc. Peanut Butter,0.35,0.62
1253,Malawi,Nuts inc. Peanut Butter,5.08,8.99
1264,Guinea,Nuts inc. Peanut Butter,4.14,7.33
1275,Nigeria,Nuts inc. Peanut Butter,6.930000000000001,12.27
1286,Rwanda,Nuts inc. Peanut Butter,0.58,1.03
1297,Philippines,Nuts inc. Peanut Butter,2.08,3.68
1308,Ghana,Nuts inc. Peanut Butter,5.56,9.84
1319,Togo,Nuts inc. Peanut Butter,3.59,6.35
1330,Gambia,Nuts inc. Peanut Butter,5.2700000000000005,9.33
1341,India,Nuts inc. Peanut Butter,1.92,3.4
1352,Thailand,Nuts inc. Peanut Butter,1.5,2.66
1363,Mozambique,Nuts inc. Peanut Butter,2.61,4.619999999999999
1374,Cambodia,Nuts inc. Peanut Butter,1.25,2.21
1385,Sierra Leone,Nuts inc. Peanut Butter,5.57,9.86
1396,Sri Lanka,Nuts inc. Peanut Butter,1.09,1.93
1407,Indonesia,Nuts inc. Peanut Butter,4.92,8.709999999999999
1418,Liberia,Nuts inc. Peanut Butter,1.31,2.32
1429,Bangladesh,Nuts inc. Peanut Butter,0.72,1.27
